salon_number,path,ext,size_bytes
,ANDREA/GMT20210331-160450_Recording.m4a,m4a,34077720
,ANDREA/GMT20210331-160450_Recording_1760x900.mp4,mp4,291076094
,ANDREA/GMT20210331-160450_Recording_gallery_1760x900.mp4,mp4,216022095
,ANDREA/andrea_interview_square.psd,psd,19121705
,ANNE/spalter.jpg,jpg,803331
,ANNE/spalter.png,png,2887775
,ANNE/spalter_goldberg_interview_012721_gallery.mp4,mp4,650370049
,ANNE/spalter_goldberg_interview_012721_speaker.mp4,mp4,1024459480
,BRANDON/GELLIS_SQUARE.psd,psd,22389936
,BRANDON/GMT20210331-183949_Recording.m4a,m4a,70347009
,BRANDON/GMT20210331-183949_Recording_2346x1104.mp4,mp4,1160129558
,BRANDON/GMT20210331-183949_Recording_gallery_2346x1104.mp4,mp4,862185036
,BRANDON/gellis.jpg,jpg,133038
,CARI ANN/Adobe Premiere Pro Auto-Save/Untitled--190f3272-8865-f976-aa13-3346b8255c58-2024-10-08_15-41-18.prproj,prproj,20954
,CARI ANN/Adobe Premiere Pro Auto-Save/cariann--2eb72a11-8bb5-0894-e20b-0aad59140a26-2024-09-30_17-49-07.prproj,prproj,13828
,CARI ANN/GMT20240930-160751_Recording.m4a,m4a,79906144
,CARI ANN/GMT20240930-160751_Recording.transcript.vtt,vtt,106623
,CARI ANN/GMT20240930-160751_Recording_1802x938.mp4,mp4,521555123
,CARI ANN/GMT20240930-160751_Recording_gallery_1802x938.mp4,mp4,413383442
,CARI ANN/Untitled.prproj,prproj,6089
,CARI ANN/cariann.jpg,jpg,129084
,CARI ANN/cariann.prproj,prproj,6322
,CARI ANN/cariann.psd,psd,9794802
,CARLA/GMT20260921-130856_Recording.m4a,m4a,42911880
,CARLA/GMT20260921-130856_Recording.transcript.vtt,vtt,90790
,CARLA/GMT20260921-130856_Recording_1920x1080.mp4,mp4,448703495
,CARLA/GMT20260921-130856_Recording_gallery_1920x1080.mp4,mp4,279630896
,CARLA/carla.jpg,jpg,219541
,CARLA/carla.psd,psd,4886720
,CARTER/Roz Dimon interviews Carter Hodgkin.mp4,mp4,144574506
,CARTER/carter.jpg,jpg,68095
,CARTER/carter_interview_square.psd,psd,6402998
,CEE/Cee Moses interviewed by Davo Bradley_ Techspressionist Artist Interview Series #13.mp4,mp4,253926920
,CEE/cee.jpg,jpg,107903
,CEE/cee_interview_square.psd,psd,14378090
,CLAUDIA/GMT20251208-162418_Recording.m4a,m4a,59865546
,CLAUDIA/GMT20251208-162418_Recording.transcript.vtt,vtt,116720
,CLAUDIA/GMT20251208-162418_Recording_3840x2160.mp4,mp4,1984037705
,CLAUDIA/GMT20251208-162418_Recording_gallery_3840x2160.mp4,mp4,1347771167
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-203229_Recording.m4a,m4a,36602403
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-203229_Recording.transcript.vtt,vtt,71963
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-203229_Recording_1920x1118.mp4,mp4,702878292
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-203229_Recording_gallery_1920x1118.mp4,mp4,430930563
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-214559_Recording.m4a,m4a,34846233
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-214559_Recording.transcript.vtt,vtt,79010
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-214559_Recording_1920x1118.mp4,mp4,385915208
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-214559_Recording_gallery_1920x1118.mp4,mp4,285770521
,CLAUDIA/PRE-INTERVIEW_CHAT/GMT20251203-214559_RecordingnewChat.txt,txt,1062
,CLAUDIA/claudia.jpg,jpg,83126
,CLAUDIA/claudia.psd,psd,6461977
,CLAUDIA/claudia.txt,txt,948
,COLIN/GOLDBERG_INTERVIEW_012221.PNG,png,528226
,DARCY/Darcy Gerbarg interviewed by Roz Dimon.mp4,mp4,138193898
,DARCY/darcy_interview_square.psd,psd,18224590
,DARCY/gerbarg.jpg,jpg,111115
,DAVO/GMT20210211-183337_Techspress.m4a,m4a,217685
,DAVO/GMT20210211-183337_Techspress_640x360.mp4,mp4,710600
,DAVO/GMT20210211-191521_Techspress.m4a,m4a,86181631
,DAVO/GMT20210211-191521_Techspress_1920x1080.mp4,mp4,759764077
,DAVO/GMT20210211-191521_Techspress_gallery_1920x1080.mp4,mp4,502903381
,DAVO/davo.jpg,jpg,204263
,DAVO/davo_interview.jpg,jpg,276039
,DAVO/davo_interview.psd,psd,18624108
,FRANK/FRANK_GILLETTE_INTERVIEWED_BY_HELEN_HARRISON.mp4,mp4,282977620
,FRANK/FRANK_GILLETTE_INTERVIEWED_BY_HELEN_HARRISON.psd,psd,14191735
,FRANK/FRANK_GILLETTE_INTERVIEWED_BY_HELEN_HARRISON_WP.jpg,jpg,192435
,FRANK/FRANK_GILLETTE_INTERVIEWED_BY_HELEN_HARRISON_YT.jpg,jpg,368301
,FRANK/GMT20220228-190048_Recording.m4a,m4a,41909471
,FRANK/GMT20220228-190048_Recording_640x360.mp4,mp4,205667560
