id,type,number,title,date_recorded,date_published,youtube_video_id,youtube_url,techspressionism_page,duration_seconds,transcript_source
salon-008,salon,8,"Pons, Sun, Andrew, Pointer, Boyd-Wilson, LaFleur",2021-01-05,2021-01-06,lxunnn1tM5M,https://www.youtube.com/watch?v=lxunnn1tM5M,https://techspressionism.com/video/salon/salon-8/,7258,whisper-large-v3
salon-009,salon,9,"Dimon, Kralikova, Lichty, Kell, Moses",2021-01-19,2021-01-19,wyAHD-HTAfM,https://www.youtube.com/watch?v=wyAHD-HTAfM,https://techspressionism.com/video/salon/salon-9/,6785,whisper-large-v3
salon-010,salon,10,"Spalter, Gerbarg, Karver, Gellis, Bradley",2021-02-02,2021-02-04,2stJTcEAhGY,https://www.youtube.com/watch?v=2stJTcEAhGY,https://techspressionism.com/video/salon/salon-10/,7196,whisper-large-v3
salon-011,salon,11,"Miller,  Henderson, Woods, Swinburne, Králíková",2021-02-16,2021-02-17,e5dH26wP9gk,https://www.youtube.com/watch?v=e5dH26wP9gk,https://techspressionism.com/video/salon/salon-11/,6884,whisper-large-v3
salon-012,salon,12,"Carter Hodgkin, Michael Rees, Colin Goldberg, Michael Price",2021-03-02,2021-03-03,colPPMiP6gk,https://www.youtube.com/watch?v=colPPMiP6gk,https://techspressionism.com/video/salon/salon-12/,7628,whisper-large-v3
salon-013,salon,13,"Negin Ehtesabian, Diane Marsella, Sue Beyer",2021-03-16,2021-03-16,b4hmMbnUuKE,https://www.youtube.com/watch?v=b4hmMbnUuKE,https://techspressionism.com/video/salon/salon-13/,6990,whisper-large-v3
salon-014,salon,14,"Susan de Troy, Sherry Karver, Deann Stein Hasinoff",2021-03-30,2021-03-31,MZ7JzodmmIA,https://www.youtube.com/watch?v=MZ7JzodmmIA,https://techspressionism.com/video/salon/salon-14/,7072,whisper-large-v3
salon-015,salon,15,"Andrea Bonaceto, Tommy Mintz, Clive Holden",2021-04-13,2021-04-14,rwlq9lFhe18,https://www.youtube.com/watch?v=rwlq9lFhe18,https://techspressionism.com/video/salon/salon-15/,8261,whisper-large-v3
salon-016,salon,16,"Randi Matushevitz, Gary Hopkins, Roz Dimon",2021-04-27,2021-04-28,syXkJWTwCJc,https://www.youtube.com/watch?v=syXkJWTwCJc,https://techspressionism.com/video/salon/salon-16/,7380,whisper-large-v3
salon-017,salon,17,"Michael Pierre Price, Greggory Hill, Michael Pointer",2021-05-11,2021-05-12,UE3rbE3XMf0,https://www.youtube.com/watch?v=UE3rbE3XMf0,https://techspressionism.com/video/salon/salon-17/,7033,whisper-large-v3
salon-018,salon,18,Paul D. Miller aka DJ Spooky that Subliminal Kid & Uli Ap,2021-05-25,2021-05-25,wvwrqw0MRfI,https://www.youtube.com/watch?v=wvwrqw0MRfI,https://techspressionism.com/video/salon/salon-18/,6905,whisper-large-v3
salon-019,salon,19,Gregory Little & Lee Musgrave,2021-06-08,2021-06-09,mA3da8lu0iU,https://www.youtube.com/watch?v=mA3da8lu0iU,https://techspressionism.com/video/salon/salon-19/,7059,whisper-large-v3
salon-020,salon,20,Victor Acevedo & Christine Sciulli,2021-06-22,2021-06-23,Hhm4t38sjUA,https://www.youtube.com/watch?v=Hhm4t38sjUA,https://techspressionism.com/video/salon/salon-20/,6696,whisper-large-v3
salon-021,salon,21,Cynthia Beth Rubin & Renata Janiszewska,2021-07-06,2021-07-07,CtSAsaLkmtQ,https://www.youtube.com/watch?v=CtSAsaLkmtQ,https://techspressionism.com/video/salon/salon-21/,6835,whisper-large-v3
salon-022,salon,22,Lorin Roser And Nina Kuo & Emma Anne Johnson,2021-07-20,2021-07-21,sbMbH55efqM,https://www.youtube.com/watch?v=sbMbH55efqM,https://techspressionism.com/video/salon/salon-22/,6968,whisper-large-v3
salon-023,salon,23,Rebecca Tombaugh and Cynthia DiDonato,2021-08-03,2021-08-06,pmau5CDJUiQ,https://www.youtube.com/watch?v=pmau5CDJUiQ,https://techspressionism.com/video/salon/salon-23/,6683,whisper-large-v3
salon-024,salon,24,Malavika Mandal Andrew and Lee Schnaiberg,2021-08-17,2021-08-18,fEWi09zryY0,https://www.youtube.com/watch?v=fEWi09zryY0,https://techspressionism.com/video/salon/salon-24/,6822,whisper-large-v3
salon-025,salon,25,"Lights, Gerbarg, Stein Hasinoff, Bradley, TinTin23x",2021-08-31,2021-09-01,BbLPmZfJVOs,https://www.youtube.com/watch?v=BbLPmZfJVOs,https://techspressionism.com/video/salon/salon-25/,6969,whisper-large-v3
salon-026,salon,26,Collab #2 Exhibition Opening Reception,2021-09-14,2021-09-15,cYU7eKBcCto,https://www.youtube.com/watch?v=cYU7eKBcCto,https://techspressionism.com/video/salon/salon-26/,6501,whisper-large-v3
salon-027,salon,27,"Davonte ""Davo"" Bradley and Holly Gordon",2021-09-28,2021-09-29,QrGxzCL_ScA,https://www.youtube.com/watch?v=QrGxzCL_ScA,https://techspressionism.com/video/salon/salon-27/,6885,whisper-large-v3
salon-028,salon,28,Tommy Mintz and Stephanie Sydney,2021-10-12,2021-10-13,fFUTukSn4gw,https://www.youtube.com/watch?v=fFUTukSn4gw,https://techspressionism.com/video/salon/salon-28/,6984,whisper-large-v3
salon-029,salon,29,Techspressionism 2021 Opening,2021-10-26,2021-10-27,ADjcjvSQViE,https://www.youtube.com/watch?v=ADjcjvSQViE,https://techspressionism.com/video/salon/salon-29/,8240,whisper-large-v3
salon-030,salon,30,Sahar Moussavi & Skywaterr,2021-11-09,2021-11-11,t0JhtlP3olQ,https://www.youtube.com/watch?v=t0JhtlP3olQ,https://techspressionism.com/video/salon/salon-30/,6762,whisper-large-v3
salon-031,salon,31,"Cee Moses, Niftorian & Dubwoman",2021-11-23,2021-11-24,7dDowJIxuJw,https://www.youtube.com/watch?v=7dDowJIxuJw,https://techspressionism.com/video/salon/salon-31/,7259,whisper-large-v3
salon-032,salon,32,"Roz Dimon, LoVid, Moritz Albrecht, Colin Goldberg",2021-12-07,2021-12-08,CbqAI1PKEkY,https://www.youtube.com/watch?v=CbqAI1PKEkY,https://techspressionism.com/video/salon/salon-32/,6493,whisper-large-v3
salon-033,salon,33,"David Bloom, Lindsay Kokoska, Nina Sobell",2021-12-21,2021-12-22,dJbRASddqhg,https://www.youtube.com/watch?v=dJbRASddqhg,https://techspressionism.com/video/salon/salon-33/,7008,whisper-large-v3
salon-034,salon,34,Old-school Open Mic with Robert DuGrenier,2021-12-07,2022-01-05,lUmGsX0p78E,https://www.youtube.com/watch?v=lUmGsX0p78E,https://techspressionism.com/video/salon/salon-34/,6898,whisper-large-v3
salon-035,salon,35,"Lily Kostrzewa, Prïnce Magnølia X St Rivera, Michael Pierre Price",2022-01-18,2022-01-20,b8yrqPIj934,https://www.youtube.com/watch?v=b8yrqPIj934,https://techspressionism.com/video/salon/salon-35/,7396,whisper-large-v3
salon-036,salon,36,Seungjin Lee & Dalton Portella,2022-02-02,2022-02-03,l52RGfTiatE,https://www.youtube.com/watch?v=l52RGfTiatE,https://techspressionism.com/video/salon/salon-36/,5054,whisper-large-v3
salon-037,salon,37,Diana de Avila & Patrick Lichty,2022-02-16,2022-02-17,1hehNivSYTo,https://www.youtube.com/watch?v=1hehNivSYTo,https://techspressionism.com/video/salon/salon-37/,5252,whisper-large-v3
