artist,link type,link no longer shown,why,link shown now
Adariiine,instagram,https://instagram.com/adariiine,the index link is broken/parked: https://instagram.com/adariiine,
Adrian Cain,website,https://draincain.com/,the index link is broken/parked: https://draincain.com/,
Aman Rasouli,website,https://amanrasouli.art/works,the index link is broken/parked: https://amanrasouli.art/works,
Amir Karimi,nft,https://foundation.app/@amirkarimi/,the index lists no nft,
Andrew Ballard,instagram,https://instagram.com/wordsbyandrew/,the index link is broken/parked: https://instagram.com/wordsbyandrew/,
Andy Wauman,website,http://andywauman.xyz/,the index link is broken/parked: http://andywauman.xyz/,
Andy Young,website,https://StrangeCarrots.com,the index link is broken/parked: https://StrangeCarrots.com,
Anne Morgan Spalter,website,https://annespalter.com/,artist is not in the artist index,https://superrare.co/aspalter7
Arian Qalandaran,website,http://arianqalandaran.com/,the index link is broken/parked: http://arianqalandaran.com/,
Aurora Innconnu,website,https://www.aurorartstudio.com,the index link is broken/parked: https://www.aurorartstudio.com,
Barbara Kahn,website,https://www.barbarakahn.art,the index link is broken/parked: https://www.barbarakahn.art,
Benjamin Tritt,website,https://bentritt.com/,the index link is broken/parked: https://bentritt.com/,
Beth Giacummo,website,https://www.bethgiacummo.com/,the index link is broken/parked: https://www.bethgiacummo.com/,
Bink Walstra,website,https://bonkstraa.com,the index link is broken/parked: https://bonkstraa.com,
Brandon S Gellis,instagram,https://instagram.com/brandongellis/,the index lists no instagram,
Brian St Cyr,website,https://www.brianstcyr.com,the index link is broken/parked: https://www.brianstcyr.com,
Carrie MaKenna,website,https://www.anamcarastudiogallery.com/,the index link is broken/parked: https://www.anamcarastudiogallery.com/,
Cassiopeus,website,https://www.cassiopeus.com,the index link is broken/parked: https://www.cassiopeus.com,
Colin Goldberg,nft,https://foundation.app/goldberg/,the index lists no nft,
Colin Goldberg,twitter,https://twitter.com/goldbergfineart,the index lists no twitter,
Colman Jones,website,https://www.colman.net,the index link is broken/parked: https://www.colman.net,
Cristina Inciarte,website,http://www.cristinainciarte.com/ | https://judith-jacobs.com/,artist is not in the artist index,
Cristina Inciarte,instagram,https://www.instagram.com/cristina_inciarte | https://www.instagram.com/judithjacobs_pics,artist is not in the artist index,
David Bloom,website,https://townsendstreetgallery.com/david-bloom,the index link is broken/parked: https://townsendstreetgallery.com/david-bloom,
Deann Stein Hasinoff,website,http://www.deannsteinhasinoff.com/,artist is not in the artist index,
Deann Stein Hasinoff,instagram,https://instagram.com/deann_stein_hasinoff_art,artist is not in the artist index,
Ellie Nikoo,website,http://enikoo.com/all-works/creative-coding/,the index link is broken/parked: http://enikoo.com/all-works/creative-coding/,
Ernest Bisaev,website,https://www.artstudio-ernest.de/,the index link is broken/parked: https://www.artstudio-ernest.de/,
Francis Mariano,website,https://phrancism.com/,the index link is broken/parked: https://phrancism.com/,
Gary Hopkins,website,http://gxhpainter.com/,the index link is broken/parked: http://gxhpainter.com/,
Giovanna Sun,website,https://linktr.ee/dubwoman,the index link is broken/parked: https://linktr.ee/dubwoman,
Iikkamatti Hauru,website,https://www.iikkamattihauru.com/,the index link is broken/parked: https://www.iikkamattihauru.com/,
J. F. Bautista,website,https://www.artbybautista.com,the index link is broken/parked: https://www.artbybautista.com,
Joanna Steidle,nft,https://foundation.app/@jsteidle,the index lists no nft,
Juan Álvarez / Wamoo,website,https://thisiswamoo.com/,artist is not in the artist index,
