person,kind,address,problem,checked
Yannet Vilela,website,http://andywauman.xyz/,parked domain (redirects to the registrar's /lander page),2026-09-21
Andy Wauman,website,http://andywauman.xyz/,parked domain (redirects to the registrar's /lander page),2026-09-21
nessi alexander-barnes,website,http://apocryphabulous.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Arian Qalandaran,website,http://arianqalandaran.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Ellie Nikoo,website,http://enikoo.com/all-works/creative-coding/,HTTP 404,2026-09-21
Gary Hopkins,website,http://gxhpainter.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Qinza Najm,website,http://qinzanajm.com/index.html,HTTP 404,2026-09-21
Matej Vakula,website,http://vakula.eu/home-en.html,HTTP 404,2026-09-21
Roman Verostko,website,http://verostko.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Cristina Inciarte,website,http://www.cristinainciarte.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Deann Stein Hasinoff,website,http://www.deannsteinhasinoff.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Osiris Munir,website,http://www.expressinabstract.net/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Mary-Ellen Latino,website,http://www.highinfiberart.com,hosting placeholder page (no website set up),2026-09-21
Tim Fabian,instagram,http://www.instagram.com/pittsburghpanoramas,profile not found,2026-09-21
Marjan Andaroodi,website,http://www.marjanandaroodi.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
ST Rivera,website,http://www.shamikalovesink.com/versions-of-the-same-song,HTTP 404,2026-09-21
Yeohyun Ahn,website,http://www.yeohyunahn.com/,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certific,2026-09-21
Andy Young,website,https://StrangeCarrots.com,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Subcisco,website,https://Subcisco.com,timed out,2026-09-21
Aman Rasouli,website,https://amanrasouli.art/works,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Ken Heidenreich,website,https://artistken.wixsite.com/artistken,HTTP 404,2026-09-21
Benjamin Tritt,website,https://bentritt.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Bink Walstra,website,https://bonkstraa.com,[Errno 65] No route to host,2026-09-21
David Guerrero,website,https://davidguerrero.art/,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.,2026-09-21
Adrian Cain,website,https://draincain.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Scott Oppenheim,nft,https://foundation.app/@Dg8tal,HTTP 404,2026-09-21
Amir Karimi,nft,https://foundation.app/@amirkarimi/,HTTP 404,2026-09-21
ScoJo,nft,https://foundation.app/@artscojo,HTTP 404,2026-09-21
Joanna Steidle,nft,https://foundation.app/@jsteidle,HTTP 404,2026-09-21
Kero,nft,https://foundation.app/@kero,HTTP 404,2026-09-21
Vytas Gaizutis,nft,https://foundation.app/gaizutis,HTTP 404,2026-09-21
Colin Goldberg,nft,https://foundation.app/goldberg/,HTTP 404,2026-09-21
Mahnaz Rasouli,nft,https://foundation.app/mahnaz,HTTP 404,2026-09-21
Adariiine,instagram,https://instagram.com/adariiine,profile not found,2026-09-21
Akira Ohiso,instagram,https://instagram.com/akiraohiso/,profile not found,2026-09-21
Andrew Kotlinski,instagram,https://instagram.com/andykotlinski,profile not found,2026-09-21
cha,instagram,https://instagram.com/cdw_nstgrm/,profile not found,2026-09-21
Data_m0sh,instagram,https://instagram.com/data_m0sh/,profile not found,2026-09-21
DJ Monetise,instagram,https://instagram.com/dj.monetise,profile not found,2026-09-21
Incaiko,instagram,https://instagram.com/incaiko.art,profile not found,2026-09-21
Kat Evans,instagram,https://instagram.com/katevansartist19/,profile not found,2026-09-21
Kristy Johnson,instagram,https://instagram.com/kikikaboodle/,profile not found,2026-09-21
Le Chat Noir,instagram,https://instagram.com/lechatn0ir__/,profile not found,2026-09-21
Marc Maurer,instagram,https://instagram.com/marcmaurer.eth/,profile not found,2026-09-21
Michael Farmer,instagram,https://instagram.com/mikefarmerart/,profile not found,2026-09-21
Nata Hening Putra,instagram,https://instagram.com/natahening_putra,profile not found,2026-09-21
Natalia Recalde,instagram,https://instagram.com/nnatalia.recalde,profile not found,2026-09-21
Tassneen Bashir,instagram,https://instagram.com/tee.n.bee,profile not found,2026-09-21
Vibeke Kidmose,instagram,https://instagram.com/vkidmose,profile not found,2026-09-21
Andrew Ballard,instagram,https://instagram.com/wordsbyandrew/,profile not found,2026-09-21
Julie McIver,website,https://juliemciver.myportfolio.com/,the site sends this address to its 'missing' page (/missing),2026-09-21
Kerry Mitchell,website,https://kerrycmitchell.com,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Giovanna Sun,website,https://linktr.ee/dubwoman,HTTP 404,2026-09-21
Lucie Králíková,website,https://lucikkralikova.wixsite.com/portfolio,HTTP 404,2026-09-21
Natalia Recalde,website,https://nataliarecalde.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Monoglyph,website,https://oneglyph.com,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Francis Mariano,website,https://phrancism.com/,HTTP 404,2026-09-21
werpi279,website,https://pierstefanobellani.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
LoVid,website,https://postmastersblockchain.com/artists/lovid/,HTTP 404,2026-09-21
Pierre-Hugues Hétu,website,https://puguess.com,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Margaret Dolinsky,website,https://soaad.indiana.edu/faculty/directory/dolinsky-margaret.html,HTTP 404,2026-09-21
David Bloom,website,https://townsendstreetgallery.com/david-bloom,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Scott Oppenheim,twitter,https://twitter.com/dg8tal,HTTP 404,2026-09-21
Colin Goldberg,twitter,https://twitter.com/goldbergfineart,HTTP 404,2026-09-21
Sahar Moussavi,twitter,https://twitter.com/sa_hirmo,HTTP 404,2026-09-21
SUDO,twitter,https://twitter.com/sudorootla,HTTP 404,2026-09-21
Carrie MaKenna,website,https://www.anamcarastudiogallery.com/,parked domain (redirects to the registrar's /lander page),2026-09-21
Ariel Baron-Robbins,website,https://www.arielbaronrobbins.com,placeholder page ('Index of /'),2026-09-21
J. F. Bautista,website,https://www.artbybautista.com,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
ScoJo,website,https://www.artscojo.com/,_ssl.c:993: The handshake operation timed out,2026-09-21
Ernest Bisaev,website,https://www.artstudio-ernest.de/,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:101,2026-09-21
Ryan Henderson,website,https://www.audio-optio.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Aurora Innconnu,website,https://www.aurorartstudio.com,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Barbara Kahn,website,https://www.barbarakahn.art,[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1010),2026-09-21
Beth Giacummo,website,https://www.bethgiacummo.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Brian St Cyr,website,https://www.brianstcyr.com,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Cassiopeus,website,https://www.cassiopeus.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, c",2026-09-21
Colman Jones,website,https://www.colman.net,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local ,2026-09-21
Zouhair El Helou AKA fractalogist,website,https://www.elhelouzouhair.co/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
Keri Haskell,website,https://www.emergingartistplatform.com/kerihaskell,HTTP 404,2026-09-21
Yannet Vilela,website,https://www.fxhash.xyz/u/joey%20zaza,HTTP 402,2026-09-21
Joey Zaza,website,https://www.fxhash.xyz/u/joey%20zaza,HTTP 402,2026-09-21
Malavika Mandal Andrew,website,https://www.guillermoarismendi.com/,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expi,2026-09-21
Guillermo Arismendi,website,https://www.guillermoarismendi.com/,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expi,2026-09-21
Iikkamatti Hauru,website,https://www.iikkamattihauru.com/,"[Errno 8] nodename nor servname provided, or not known",2026-09-21
iKatch,website,https://www.ikatch.net/,HTTP 404,2026-09-21
Prïnce Magnølïa,instagram,https://www.instagram.com/999prince_magnolia999/,profile not found,2026-09-21
Michael Pierre Price,instagram,https://www.instagram.com/999prince_magnolia999/,profile not found,2026-09-21
André Oliveira Cebola,instagram,https://www.instagram.com/andreoliveira.cebola/,profile not found,2026-09-21
Yannet Vilela,instagram,https://www.instagram.com/andywauman/,profile not found,2026-09-21
Andy Wauman,instagram,https://www.instagram.com/andywauman/,profile not found,2026-09-21
nessi alexander-barnes,instagram,https://www.instagram.com/apocryphabulous/,profile not found,2026-09-21
Arian Qalandaran,instagram,https://www.instagram.com/arianvisions/,profile not found,2026-09-21
Ariel Baron-Robbins,instagram,https://www.instagram.com/arielbaronrobbinsart/,profile not found,2026-09-21
Atneh MohammadShahi,instagram,https://www.instagram.com/atneh_/,profile not found,2026-09-21
Ben Red,instagram,https://www.instagram.com/benred089/,profile not found,2026-09-21
W.V. Rogers,instagram,https://www.instagram.com/bill.stellarfire//,profile not found,2026-09-21
Tor Burwell,instagram,https://www.instagram.com/burwell_design/,profile not found,2026-09-21
Fantom,instagram,https://www.instagram.com/c0rrup73d_l0v3/,profile not found,2026-09-21
