count,matched_text,candidate_name,similarity,session_count,sessions,likely_noise,example_context
62,greg little,Gregory Little,0.88,13,interview-001;interview-011;interview-016;interview-021;interview-029;salon-016;salon-018;salon-020;salon-029;salon-043;salon-050;salon-060;salon-101,yes,hat you know like patrick just did his first interview with greg little who is our graduate advisor and you know i would encourage 
40,giovanna,Giovanna Sun,0.8,10,salon-013;salon-030;salon-045;salon-046;salon-049;salon-050;salon-055;salon-060;salon-066;salon-068,yes,u have different periods of work yeah i see a question from giovanna and that's a good question too about she said i have an nft
32,Patrick,Patrick Lichty,0.67,7,interview-006;interview-012;roundtable-006;salon-009;salon-057;salon-059;salon-069,yes,s definitely going through some stuff at that time I'm sure Patrick can attest to that he was he was right right there with me 
24,and human,Andy Wauman,0.8,8,interview-028;presentation-002;salon-029;salon-054;salon-092;salon-096;salon-099;salon-100,yes,ow an mk15 and and tools are beautiful and brilliant things and human beings are are pretty brilliant too but where it's all abou
18,michael reese,Michael Strevens,0.83,5,interview-029;roundtable-001;salon-015;salon-045;salon-060,yes,k so within the next couple of days i'm going to be posting michael reese the interview that i did with him last week which is a real
16,osvan rosen,Oz Van Rosen,0.87,2,interview-021;salon-029,yes,ideas in addition to myself steve miller helen harrison and osvan rosen the first salon included artist and theorist patrick lichty
16,Patrick licky,Patrick Lichty,0.89,2,salon-043;salon-075,yes, maybe book design with that but after I married my husband Patrick licky the technology around us around me was different so suddenl
16,Alan Hirsch,Allen Hirsh,0.82,2,salon-093;salon-108,yes,"ol from zoom, that would be great. And I see I'm gonna pick Alan Hirsch first, st"
14,cynthia rubin,Cynthia Beth Rubin,0.84,4,salon-020;salon-023;salon-031;salon-046,yes,where cynthia came from i guess because i was talking about cynthia rubin a second ago wait i kind of love it because you got the las
12,be read,Ben Red,0.86,3,presentation-008;salon-029;salon-086,yes,her that in the original biblical text it's not intended to be read either because it uses mycography little writing so that's 
12,michael reese's,Michael Rees,0.89,4,roundtable-001;salon-045;salon-049;salon-086,yes,d of like in in in her you know where she's going and maybe michael reese's piece you know in other words these things that you know th
12,Richard,Richard E,0.88,2,salon-062;salon-102,yes,ed the rasta paintings and this artist Patrick carryou sued Richard he won the first round he lost the second round but I've be
12,and Shapiro,Ann Shapiro,0.91,3,interview-001;salon-083;salon-086,yes,"you know there were. I had 2 painting professors, Hippolito and Shapiro and Shapiro said to us."
11,Zeitgeist,zeitgeistmode,0.82,2,interview-027;salon-095,yes,"you were talking about the the onion and the outer layer is Zeitgeist, too, and and I think that this could be a Zeitgeist moment"
10,lead into,Leila Pinto,0.8,3,interview-029;salon-013;salon-106,yes,se you'd call it and the aesthetics from a few pieces would lead into each other so yeah it does in a way yeah but okay i was jus
10,"Cynthia Rubin,",Cynthia Beth Rubin,0.84,4,interview-029;salon-092;salon-098;salon-101,yes,"is to see people come together from all over the world. And Cynthia Rubin, who helped, you know, implement these captions actually org"
10,Tintin,TinTin23x,0.8,2,roundtable-002;salon-095,yes,"nt. Oh, we have a nice typed in thing here. One last thing, Tintin 23 x said. My question, for the panel relates the to the so"
9,"Patrick,",Patrick Lichty,0.67,1,roundtable-006,,"my doctors at the Cleveland Clinic said, you know, Patrick, you know, you're…"
8,and spalter,Anne Spalter,0.87,2,salon-009;salon-066,,nter and one of the board members said you know this person and spalter have you heard of her and i hadn't at the time and she said
8,patrick lichthe,Patrick Lichty,0.9,1,salon-018,,ages for a couple other shows my colleague from grad school patrick lichthe and i are curating a show that's going to be an online exhi
8,colin campbell,Clayton Campbell,0.8,2,roundtable-005;salon-021,,nfluenced by norman mclaren who is a canadian filmmaker was colin campbell who was a canadian video artist and jan swinburne and clive
8,david m,David Mew,0.88,2,salon-025;salon-091,,re active in the 1980s in digital art which includes myself david m koko khan and michael wright and in in a context of a organ
8,like day,Lee Day,0.8,2,interview-013;salon-036,,he canvas and later i took a photo and scanning the digital like day of digital data and then i like randomly like program like 
8,an spalter,Anne Spalter,0.91,1,salon-043,, excited about this so without further Ado let's start with an spalter who's going to share her screen thank you so much and I'm g
8,dan weldon,Dan Welden,0.9,1,salon-044,,owing you the the current piece which this is played for at dan weldon studio and it's called a solar plate so it's a solar plate 
