tier,heard as,probably,times,recordings,where,example recording,example time (s),example
A,nina sobel,Nina Sobell,18,13,"interview-021, interview-026, interview-029, roundtable-001, salon-042, salon-043",salon-042,3658,"ederick Pons, Diana Diavola, Lee Day, Susan Wong, Nina Sobel, Dana Jones, N3T4, Sanjin Lee, Cynthia DiDonato, Reese Schroeder, Sarah Song, a"
A,nina sobel,nina sobell,18,13,"interview-021, interview-026, interview-029, roundtable-001, salon-042, salon-043",salon-042,3658,"ederick Pons, Diana Diavola, Lee Day, Susan Wong, Nina Sobel, Dana Jones, N3T4, Sanjin Lee, Cynthia DiDonato, Reese Schroeder, Sarah Song, a"
A,dan weldon,Dan Welden,8,2,"salon-042, salon-044",salon-042,6469,ied up with it. Solar plate printing pioneered by Dan Weldon at Hampton Editions is an environmentally friendly technology that uses UV ligh
A,michael reese,Michael Rees,6,3,"interview-011, salon-012, salon-045",salon-012,0,"two people. I know Michael Rees is in the lineup. Michael Reese, yeah.  And... Carter. Carter. Sorry. Okay. So, Carter, Michael Reese, Micha"
A,michael reese's,Michael Rees,5,4,"salon-042, salon-043, salon-045, salon-049",salon-042,1289,"e back. And then we're going to go around, first, Michael Reese's sculptors here, these inflatable sculptors. And then we're going to go bac"
A,joseph necvatal,Joseph Nechvatal,4,3,"interview-004, salon-008, salon-071",salon-008,2335,"you know, a pioneer in this area. And his name is Joseph Necvatal.  And he, I lived kind of not too far from him in the Lower East Side in N"
A,helen harrison's,Helen A. Harrison,3,3,"salon-016, salon-025, salon-045",salon-016,3461,"h. I mean, really, it was like to a large degree, Helen Harrison's support of this idea really early on, like even like 10 years ago when it"
A,renata januszewska,Renata Janiszewska,3,2,"salon-043, salon-091",salon-043,3215," muted, Renata. Hello. Thank you, Roz. My name is Renata Januszewska. And I'm really pleased to have been invited to this panel. I'm so hono"
A,renata januszewska,renata Janiszewska,3,2,"salon-043, salon-091",salon-043,3215," muted, Renata. Hello. Thank you, Roz. My name is Renata Januszewska. And I'm really pleased to have been invited to this panel. I'm so hono"
A,randy matyshevitz,Randi Matushevitz,2,1,interview-018,interview-018,0,her work after this interview. A few things about Randy Matyshevitz here. Randy Matyshevitz is an American multidisciplinary artist based in
A,sherry carver,Sherry Karver,1,1,salon-010,salon-010,2545,you're muted? There you go. All right yep. Hi I'm Sherry Carver I am in Oakland California but born and raised in Chicago so I'm sure you'll
A,sahar musavi,Sahar Moussavi,1,1,salon-072,salon-072,149,"we are going to talk about environment today. I'm Sahar Musavi. I'm Zooming from Iran. I'm right now in Tehran.  Ah, I want to talk about na"
B,prince magnolia,Prïnce Magnølïa,3,1,salon-035,salon-035,84,"All right. Well, I guess we can move on to ST and Prince Magnolia.  I don't know if you guys both want to go on together or whatever you wan"
B,open brush,Pen and Brush,3,1,presentation-008,presentation-008,183,deling in the past I've also used Virtual Reality Open Brush formerly called Tiltbrush for VR painting and Gravity Sketch as a VR modeling t
B,vernetta lights,Verneda Lights,2,2,"salon-012, salon-043",salon-012,1560,"unded in plastic for protection? I think that was Vernetta. Lights, right? And so the real world correlate. Can you be a little. Can you ela"
B,helen harris,Helen A. Harrison,2,2,"salon-013, salon-050",salon-013,2595,"eely as surrealism or expressionism or, you know, Helen Harris from the Pollock House did a really good job of sort of framing it in the rec"
B,tommy mintz's,Tommy Mintz,2,2,"salon-017, salon-084",salon-017,210,"l about the value of this is recently, like I saw Tommy Mintz's work that he showed with his photography and what he created being able to s"
B,carol ramon,Caro Ramonde,2,1,salon-026,salon-026,3150," collaboration between Michael Pointer again, and Carol Ramon. Or Ramon D Ramon. Ramon. Ramon. See, that's actually fairly close to my middl"
B,steve miller's,Steve Miller,2,2,"salon-029, salon-039",salon-029,183,"spressionism.Com launched from the front porch of Steve Miller's studio in Sagaponik, New York. Shortly thereafter I presented the idea to H"
B,joseph necvital,Joseph Nechvatal,2,2,"interview-011, salon-036",salon-036,1534,"t been that familiar with it. There is an artist, Joseph Necvital, who's sort of he hasn't been to a salon, but he was one of the people tha"
B,michael price's,Michael Pierre Price,2,2,"salon-042, salon-055",salon-042,1289,"nd if you do end up picking up that postcard with Michael Price's work, it actually has an AR component. So if you look at the postcard's co"
B,michael price's,Michael Price,2,2,"salon-042, salon-055",salon-042,1289,"nd if you do end up picking up that postcard with Michael Price's work, it actually has an AR component. So if you look at the postcard's co"
B,hayide jamshidai,Hayede Jamshidi,2,1,salon-042,salon-042,2378,"o see you. You're welcome. And the next three are Hayide Jamshidai.  I hope I'm saying the name correctly. James, can you get on over here s"
B,frederick pons,Frédéric Pons,2,2,"salon-042, salon-051",salon-042,3658,"z, Janice Randenburg-Lee, TinTan23x, Jan Swinbur, Frederick Pons, Diana Diavola, Lee Day, Susan Wong, Nina Sobel, Dana Jones, N3T4, Sanjin L"
B,frederick pons,Frederic Pons,2,2,"salon-042, salon-051",salon-042,3658,"z, Janice Randenburg-Lee, TinTan23x, Jan Swinbur, Frederick Pons, Diana Diavola, Lee Day, Susan Wong, Nina Sobel, Dana Jones, N3T4, Sanjin L"
B,tommy mints,Tommy Mintz,2,2,"salon-051, salon-083",salon-051,364,"oing that to myself. I was looking for titles and Tommy Mints and Colin came up with the two that are listed below. Thank you.  Again, in mi"
B,beth giacomo,Beth Giacummo,2,1,salon-075,salon-075,1198,or her on Instagram and Facebook as well. Is that Beth Giacomo that's still the point person there? So she's a really good person also just 
B,sue byers,Sue Beyer,2,1,salon-086,salon-086,1770,"wall we have Rollemann Kolonowski's scans next to Sue Byers. I'm sorry, I'm tilting a lot here. Sue Byers installation that includes a fun l"
B,cynthia ruben,Cynthia B Rubin,2,2,"interview-003, salon-095",salon-095,0,"the name picture element with a square in it, and Cynthia Ruben was in the group, and some other artists was about 8 of us, I guess, and we "
B,cynthia ruben,Cynthia Beth Rubin,2,2,"interview-003, salon-095",salon-095,0,"the name picture element with a square in it, and Cynthia Ruben was in the group, and some other artists was about 8 of us, I guess, and we "
B,cynthia ruben,Cynthia Rubin,2,2,"interview-003, salon-095",salon-095,0,"the name picture element with a square in it, and Cynthia Ruben was in the group, and some other artists was about 8 of us, I guess, and we "
B,michael boras,Michael Borras,2,1,salon-106,salon-106,3754," I'd love it if some of you, and maybe especially Michael, Boras, the spiritual aspects of, There's so many interesting things about AI. I m"
B,clive hold,Clive Holden,1,1,salon-014,salon-014,2524,m so we have Andrea Bonaceto bonachetto and um uh clive hold yeah yeah yeah so um it should be a good lineup andrea actually if you guys had
B,patrick lichty's,Patrick Lichty,1,1,salon-017,salon-017,210," to fractal mathematics. And, and I don't know if Patrick Lichty's here today, or not, but he was doing some plotter drawings a few weeks ag"
B,patrick lichty's,patrick lichty,1,1,salon-017,salon-017,210," to fractal mathematics. And, and I don't know if Patrick Lichty's here today, or not, but he was doing some plotter drawings a few weeks ag"
B,mark peclavanos,Mark Pechlivanos,1,1,salon-018,salon-018,0,"0. The first artist that we added was a guy named Mark Peclavanos, who's out in, you know, Ohio. And as of today, we have 244 artists in our"
B,lee musgrove,Lee Musgrave,1,1,salon-018,salon-018,2965,terested in presenting or oh we we do have uh lee lee musgrove wanted to present also next time so yeah he he made sure to let me know befor
B,caro raimondi,Caro Ramonde,1,1,salon-025,salon-025,3294,ring and then Michael Pointer is also paired with Caro Raimondi so there's six pairs all together and each pairing produced you know a numbe
B,michael pricey,Michael Pierre Price,1,1,salon-028,salon-028,1995,"now, that have run online that I've added. I know Michael pricey had your online show and that mentioned expressionism. There were. A lot of"
B,michael pricey,Michael Price,1,1,salon-028,salon-028,1995,"now, that have run online that I've added. I know Michael pricey had your online show and that mentioned expressionism. There were. A lot of"
B,alan kennard,Alan Kinnard,1,1,salon-029,salon-029,5902,"forgot that we had two. So, sorry. All right. So, Alan Kennard. All right, Alan, you with us? I'm here. Thanks, Davo. All right. All right. "
B,roman virosko,Roman Verostko,1,1,salon-037,salon-037,1868,ng up here in Minnesota. And I met this guy named Roman Virosko. Who's part of this group called the Algaris. Who has kind of adopted me in 
B,anne spaulder,Anne Morgan Spalter,1,1,salon-037,salon-037,1868,"m, ignore that. I work a lot with a platform that Anne Spaulder and Carl Aganis introduced me to, and I'd already heard about a little bit t"
B,anne spaulder,Anne Spalter,1,1,salon-037,salon-037,1868,"m, ignore that. I work a lot with a platform that Anne Spaulder and Carl Aganis introduced me to, and I'd already heard about a little bit t"
B,carl aganis,Carla Gannis,1,1,salon-037,salon-037,1868,"work a lot with a platform that Anne Spaulder and Carl Aganis introduced me to, and I'd already heard about a little bit through some papers"
B,gregory i'll,Greggory Hill,1,1,salon-039,salon-039,5050,t's a whole yeah yeah yeah but yeah um so we have gregory I'll send you an email is that the best way to do it okay there's actually on the 
B,andy thomas's,Andy Thomas,1,1,salon-040,salon-040,5047,"nd the Russian artist, Mounth, and this is one of Andy Thomas's NFTs at the top, there's Nagin's piece, which was selected by the Arts Cente"
B,brandon gillis,Brandon S Gellis,1,1,salon-042,salon-042,922,Great. Brandon Gillis is right beneath Davos Peace. And it's titled 182 Interacting Squares for A
B,brandon gillis,Brandon Gellis,1,1,salon-042,salon-042,922,Great. Brandon Gillis is right beneath Davos Peace. And it's titled 182 Interacting Squares for A
