type,number,title,video_id,source,note
salon,8,"Pons, Sun, Andrew, Pointer, Boyd-Wilson, LaFleur",lxunnn1tM5M,techspressionism.com featured image,"Capture-2.jpg (1615x911, fitted on white)"
salon,9,"Dimon, Kralikova, Lichty, Kell, Moses",wyAHD-HTAfM,techspressionism.com featured image,salon.jpg
salon,10,"Spalter, Gerbarg, Karver, Gellis, Bradley",2stJTcEAhGY,techspressionism.com featured image,"SALON_10_GALLERY.jpg (1024x586, fitted on white); the same picture is used by 2 recordings (generic)"
salon,11,"Miller,  Henderson, Woods, Swinburne, Králíková",e5dH26wP9gk,techspressionism.com featured image,"SALON_10_GALLERY.jpg (1024x586, fitted on white); the same picture is used by 2 recordings (generic)"
salon,12,"Carter Hodgkin, Michael Rees, Colin Goldberg, Michael Price",colPPMiP6gk,techspressionism.com featured image,SALON_12_GALLERY-1.jpg
salon,13,"Negin Ehtesabian, Diane Marsella, Sue Beyer",b4hmMbnUuKE,techspressionism.com featured image,salon_13.jpg
salon,14,"Susan de Troy, Sherry Karver, Deann Stein Hasinoff",MZ7JzodmmIA,techspressionism.com featured image,salon_14.jpg
salon,15,"Andrea Bonaceto, Tommy Mintz, Clive Holden",rwlq9lFhe18,techspressionism.com featured image,SALON_15_GRID.jpg
salon,16,"Randi Matushevitz, Gary Hopkins, Roz Dimon",syXkJWTwCJc,techspressionism.com featured image,salon_16_grid.jpg
salon,17,"Michael Pierre Price, Greggory Hill, Michael Pointer",UE3rbE3XMf0,techspressionism.com featured image,salon_17.jpg
salon,18,Paul D. Miller aka DJ Spooky that Subliminal Kid & Uli Ap,wvwrqw0MRfI,techspressionism.com featured image,salon_18_grid.jpg
salon,19,Gregory Little & Lee Musgrave,mA3da8lu0iU,techspressionism.com featured image,salon_19_grid.jpg
salon,20,Victor Acevedo & Christine Sciulli,Hhm4t38sjUA,techspressionism.com featured image,salon_20_grid.jpg; the same picture is used by 2 recordings (generic)
salon,21,Cynthia Beth Rubin & Renata Janiszewska,CtSAsaLkmtQ,techspressionism.com featured image,salon_20_grid.jpg; the same picture is used by 2 recordings (generic)
salon,22,Lorin Roser And Nina Kuo & Emma Anne Johnson,sbMbH55efqM,techspressionism.com featured image,"salon_22_grid-scaled.jpg (2560x1431, fitted on white)"
salon,23,Rebecca Tombaugh and Cynthia DiDonato,pmau5CDJUiQ,techspressionism.com featured image,salon_23_grid.jpg
salon,24,Malavika Mandal Andrew and Lee Schnaiberg,fEWi09zryY0,techspressionism.com featured image,salon_24_grid.jpg
salon,25,"Lights, Gerbarg, Stein Hasinoff, Bradley, TinTin23x",BbLPmZfJVOs,techspressionism.com featured image,salon_25_grid.jpg
salon,26,Collab #2 Exhibition Opening Reception,cYU7eKBcCto,techspressionism.com featured image,collab.jpg
salon,27,"Davonte ""Davo"" Bradley and Holly Gordon",QrGxzCL_ScA,techspressionism.com featured image,salon_27_grid.jpg
salon,28,Tommy Mintz and Stephanie Sydney,fFUTukSn4gw,techspressionism.com featured image,salon_28_grid.jpg
salon,29,Techspressionism 2021 Opening,ADjcjvSQViE,techspressionism.com featured image,"TS2021_FEATURED-scaled.jpg (2560x1440, fitted on white)"
salon,30,Sahar Moussavi & Skywaterr,t0JhtlP3olQ,techspressionism.com featured image,salon_30_promo_FB.jpg
salon,31,"Cee Moses, Niftorian & Dubwoman",7dDowJIxuJw,techspressionism.com featured image,salon_31_IG_FEATURE.jpg
salon,32,"Roz Dimon, LoVid, Moritz Albrecht, Colin Goldberg",CbqAI1PKEkY,local file,salon_32_FB.jpg
salon,33,"David Bloom, Lindsay Kokoska, Nina Sobell",dJbRASddqhg,local file,salon_33_FB.jpg
salon,34,Old-school Open Mic with Robert DuGrenier,lUmGsX0p78E,local file,salon_34_FB.jpg
salon,35,"Lily Kostrzewa, Prïnce Magnølia X St Rivera, Michael Pierre Price",b8yrqPIj934,local file,salon_35_WP.jpg
salon,36,Seungjin Lee & Dalton Portella,l52RGfTiatE,local file,salon_36_WP.jpg
salon,37,Diana de Avila & Patrick Lichty,1hehNivSYTo,local file,salon_37_WP.jpg
salon,38,Steve Miller & Lee Day,ufGrnsSaMQo,local file,salon_38_WP.jpg
salon,39,Old-School Open Mic: OBSOLESCENCE,2KEDFrtlQTY,local file,salon_39_WP.jpg
salon,40,COLLAGE : Show & Tell,Z-RFTbQ7GF8,local file,salon_40_WP.jpg
salon,41,CLIMATE : Show & Tell,XUBL7L41hjA,local file,salon_41_WP.jpg
salon,42,"Techspressionism: Digital and Beyond, International Reception",QcotNCjBuIQ,local file,salon_42_WP.jpg
salon,43,FEMME TECH,KyBLFghq4N0,local file,salon_43_WP.jpg
salon,44,East End Tech,PecHOYGSnWY,techspressionism.com featured image,salon_44_WP-1.jpg
salon,45,"""...AND BEYOND"" : Show & Tell",pxavr84wDJs,local file,salon_45_WP.jpg
salon,46,Weird Media,xo2ql3MgJlw,local file,salon_46_WP.jpg
salon,47,Materiality,ggbxdDYOEz4,local file,salon_47_WP.jpg
salon,48,Adaptation,WCOXAr5_wdE,local file,salon_48_WP.jpg
salon,49,Movement,iVP63DGbCGY,local file,salon_49_WP.jpg
salon,50,Output & Fabrication,zj79kXJHdFU,local file,salon_50_WP.jpg
salon,51,AI Engines: Friend or Foe?,xTm1wXYzdCI,local file,salon_51_WP.jpg
salon,52,Art and Physics,LuFuRGhgnmQ,local file,salon_52_WP.jpg
salon,53,Photography and Media Confluence,ACwcZ2XHb9E,local file,salon_53_WP.jpg
