trouble score,recording,source,words,words per minute,% unattributed,repeated sentence loops,phantom phrases,long gaps (90+ s without words),bracket markers,crosscheck overlap
66,salon-021,whisper-large-v3,17503,153.6,0,12,0,808-926s; 3194-3463s; 6261-6473s,0,0.906
66,salon-044,whisper-large-v3,13163,147.7,100,12,0,2287-2408s; 2778-2910s; 4619-4717s,0,0.887
59,salon-075,whisper-large-v3,11138,121.5,0,11,0,4039-4422s; 5326-5500s,0,0.883
58,salon-008,whisper-large-v3,18043,149.2,0,10,0,327-504s; 1809-1912s; 3506-3653s; 6803-6953s,0,0.878
58,salon-013,whisper-large-v3,18549,159.2,0,10,0,885-1004s; 2756-3093s; 3575-3805s; 5739-6096s,0,0.894
56,salon-032,whisper-large-v3,17087,157.9,0,10,0,1968-2114s; 3673-3852s; 4636-4748s,0,0.883
55,salon-033,whisper-large-v3,14046,120.3,0,8,1,230-532s; 2611-2903s; 4089-4299s; 5520-5709s; 5958-6095s; 6832-6981s,0,0.877
51,interview-005,whisper-large-v3,15164,168.0,100,5,0,258-383s; 587-757s; 757-942s; 942-1143s; 1379-1506s; 1506-1689s,0,0.915
51,presentation-009,whisper-large-v3,13528,136.7,100,9,0,5503-5683s; 5683-5863s,0,0.4
46,interview-013,whisper-large-v3,12460,176.4,100,2,0,568-733s; 733-919s; 919-1103s; 1465-1654s; 1654-1834s; 1834-2015s,0,0.914
46,salon-046,whisper-large-v3,11267,126.4,100,8,0,757-964s; 964-1214s; 4950-5153s,0,0.85
42,salon-009,whisper-large-v3,18465,163.3,0,6,0,477-594s; 1162-1257s; 1655-1828s; 3084-3410s; 5711-5944s; 6491-6785s,0,0.88
42,salon-042,whisper-large-v3,19150,138.5,100,8,0,6312-6469s,0,0.849
41,salon-055,whisper-large-v3,13561,150.1,100,7,0,1280-1424s; 1877-2101s; 4055-4215s,0,0.882
41,salon-059,whisper-large-v3,14897,152.2,0,5,0,1057-1174s; 2473-2647s; 3313-3441s; 3441-3741s; 3741-3937s; 3937-4146s,0,0.891
41,salon-061,whisper-large-v3,11751,127.5,0,6,1,1506-1685s; 2288-2436s; 3788-3884s; 4642-5247s,0,0.862
40,salon-016,whisper-large-v3,19908,161.9,0,6,0,940-1169s; 1338-1452s; 1455-1547s; 1585-1702s; 3244-3448s,0,0.896
40,salon-027,whisper-large-v3,17034,148.4,0,6,0,3049-3377s; 3877-4207s; 5353-5461s; 6249-6568s; 6579-6689s,0,0.912
40,salon-049,whisper-large-v3,15129,153.6,100,6,0,2-247s; 2113-2294s; 2294-2449s; 2719-2843s; 5620-5829s,0,0.891
40,salon-054,whisper-large-v3,12739,125.5,100,4,0,556-674s; 1647-1826s; 1826-1971s; 1973-2064s; 4285-4467s; 4467-4640s,0,0.875
38,salon-041,whisper-large-v3,10115,117.8,100,4,0,1347-1458s; 1458-1558s; 1819-1971s; 3512-3711s; 3711-3895s; 3895-4076s,0,0.886
36,salon-019,whisper-large-v3,17875,151.9,0,6,0,1585-1736s; 1736-1954s; 6397-6714s,0,0.907
36,salon-034,whisper-large-v3,17483,152.1,0,4,0,1760-1871s; 1871-1963s; 2551-2650s; 3051-3346s; 3658-4160s; 6024-6226s,0,0.903
35,interview-021,whisper-large-v3,15773,162.7,100,3,0,290-408s; 1613-1714s; 1714-1897s; 1897-2087s; 2087-2275s; 2637-2844s,0,0.901
35,salon-017,whisper-large-v3,17316,147.7,0,7,0,,0,0.904
35,salon-029,whisper-large-v3,18625,135.6,100,7,0,,0,0.876
33,salon-043,whisper-large-v3,14128,134.7,100,5,0,424-584s; 1037-1176s; 3396-3544s; 5476-5658s,0,0.846
32,salon-056,whisper-large-v3,13264,125.7,0,6,0,1709-1833s,0,0.852
31,interview-001,whisper-large-v3,7134,168.2,100,5,0,774-872s; 1034-1129s; 1702-1827s,0,0.873
31,interview-022,whisper-large-v3,7917,160.6,100,3,0,212-375s; 375-630s; 1177-1358s; 1358-1542s; 1542-1638s; 1985-2091s,0,0.919
31,salon-011,whisper-large-v3,15062,131.3,0,5,0,3111-3304s; 3520-3626s; 6655-6884s,0,0.888
31,salon-012,whisper-large-v3,18717,147.2,0,5,0,1466-1560s; 1808-2016s; 6036-6141s,0,0.895
31,salon-020,whisper-large-v3,17016,152.5,0,5,0,2579-2711s; 3306-3449s; 5745-6320s,0,0.881
31,salon-067,whisper-large-v3,10225,108.7,0,5,0,3500-3598s; 3680-4148s; 4590-4781s,0,0.873
31,salon-069,whisper-large-v3,11331,122.8,0,5,0,750-884s; 2150-2246s; 3469-3686s,0,0.849
30,interview-025,whisper-large-v3,8093,126.2,100,6,0,,0,0.869
30,salon-014,whisper-large-v3,19241,163.2,0,4,0,0-140s; 140-266s; 4150-4518s; 4927-5907s; 6267-6581s,0,0.905
29,interview-019,whisper-large-v3,10648,156.2,100,5,0,651-752s; 1665-1802s,0,0.811
29,salon-035,whisper-large-v3,15956,129.4,0,5,0,4037-4186s; 7304-7396s,0,0.855
29,salon-070,whisper-large-v3,12795,141.2,0,5,0,962-1136s; 2418-2683s,0,0.891
29,salon-073,whisper-large-v3,9525,126.8,0,5,0,4123-4267s; 4402-4507s,0,0.879
28,salon-018,whisper-large-v3,17147,149.0,0,4,0,998-1121s; 3793-3895s; 5456-6119s; 6688-6905s,0,0.878
28,salon-025,whisper-large-v3,16671,143.5,0,4,0,2568-2691s; 3894-4188s; 4574-5400s; 5400-5602s,0,0.877
28,salon-047,whisper-large-v3,12340,133.9,100,2,0,2251-2431s; 2431-2677s; 3478-3586s; 3586-3769s; 3769-3884s; 4026-4137s,0,0.906
28,salon-058,whisper-large-v3,11446,108.9,0,4,0,1541-1720s; 3035-3292s; 5050-5502s; 5922-6133s,0,0.851
28,salon-065,whisper-large-v3,13000,133.8,0,4,0,1300-1542s; 4710-4855s; 4855-5078s; 5078-5182s,0,0.868
27,salon-024,whisper-large-v3,17705,155.7,0,3,0,941-1642s; 2305-2534s; 2534-2685s; 3412-3854s; 5081-5623s; 5976-6536s,0,0.896
26,salon-022,whisper-large-v3,14798,127.4,0,4,0,1092-1269s; 4588-4799s; 6791-6968s,0,0.895
26,salon-045,whisper-large-v3,10794,122.7,100,4,0,2974-3128s; 3128-3244s; 5150-5278s,0,0.882
26,salon-072,whisper-large-v3,10517,113.1,0,4,0,1675-1790s; 3062-3187s; 3187-3560s,0,0.85
26,salon-074,whisper-large-v3,12814,136.9,0,4,0,816-942s; 3989-4193s; 4193-4315s,0,0.874
25,interview-007,whisper-large-v3,13401,136.1,100,1,0,580-729s; 729-930s; 2399-2597s; 2597-2751s; 3000-3143s; 3143-3325s,0,0.892
25,roundtable-001,whisper-large-v3,7300,140.7,100,5,0,,0,0.879
25,salon-028,whisper-large-v3,16996,146.0,0,3,0,691-838s; 4392-4623s; 5012-5109s; 5223-5433s; 6789-6984s,0,0.905
25,salon-052,whisper-large-v3,13880,151.6,100,5,0,,0,0.888
25,salon-076,whisper-large-v3,14010,148.5,0,3,0,732-941s; 1117-1214s; 1214-1390s; 4237-4788s; 5476-5630s,0,0.865
24,salon-015,whisper-large-v3,22015,159.9,0,2,0,4481-4954s; 6507-6689s; 6689-6871s; 6871-7061s; 7061-7241s; 7241-7346s,0,0.895
24,salon-023,whisper-large-v3,15691,140.9,0,4,0,1828-2063s; 3968-4092s,0,0.9
24,salon-031,whisper-large-v3,18932,156.5,0,4,0,1152-1300s; 2109-2473s,0,0.877
24,salon-040,whisper-large-v3,12483,133.1,100,4,0,2301-2407s; 3511-3754s,0,0.891
24,salon-053,whisper-large-v3,12859,129.1,100,4,0,3615-3716s; 4645-4865s,0,0.885
23,salon-050,whisper-large-v3,14489,154.9,100,3,0,549-768s; 3470-3564s; 4367-4463s; 4686-4922s,0,0.894
23,salon-071,whisper-large-v3,15292,156.1,0,3,0,2808-3017s; 4343-4467s; 5331-5513s; 5513-5684s,0,0.888
22,salon-030,whisper-large-v3,16115,143.0,0,2,0,98-205s; 1819-1943s; 3239-3865s; 3916-4125s; 4596-4709s; 6158-6359s,0,0.896
22,salon-036,whisper-large-v3,10617,126.0,0,4,0,1155-1527s,0,0.841
20,interview-006,whisper-large-v3,9890,165.8,100,0,0,364-547s; 547-729s; 729-917s; 917-1100s; 1100-1260s; 2396-2576s,0,0.895
20,salon-062,whisper-large-v3,13191,142.0,0,4,0,,0,0.881
19,salon-039,whisper-large-v3,15590,167.4,100,1,0,620-757s; 1586-1689s; 1689-1854s; 3433-3525s; 3525-3760s; 4860-5050s,0,0.915
19,salon-086,whisper-large-v3,15697,134.8,0,3,0,2255-2439s; 6770-6986s,0,0.845
18,salon-026,whisper-large-v3,14405,132.9,100,2,0,3882-4007s; 5608-5719s; 5719-5908s; 5908-6069s,0,0.874
18,salon-048,whisper-large-v3,11722,134.6,100,2,0,747-904s; 4267-4435s; 4435-4565s; 5041-5161s,0,0.906
18,salon-063,whisper-large-v3,12516,138.6,0,2,0,1072-1170s; 1170-1496s; 1496-1758s; 3670-3855s,0,0.898
18,salon-068,whisper-large-v3,14134,144.4,0,2,0,873-1465s; 1574-1694s; 1694-1809s; 4934-5465s,0,0.889
17,interview-012,whisper-large-v3,7311,149.3,100,3,0,2445-2593s,0,0.868
17,interview-017,whisper-large-v3,8956,151.2,100,3,0,1012-1131s,0,0.9
