word,count,examples
bye,9,corpus/interview-009.md: ...36s)  Absolutely. Thank you. Bye. Okay. Bye bye. ... | corpus/salon-024.md: ...re my feedback please send my emails ok bye bye will ask me how you reach to this parti...
changes,8,corpus/salon-041.md: ...Climate changes Climate changes Climate changes Changes in the weather Changes Changes Climate ... | corpus/salon-041.md: ... Climate changes Changes in the weather Changes Changes Climate Changes Climate Changes Clim-.....
each,7,corpus/interview-006.md: ...s is how I how I do this in other words each each of each of my executions you know of ma... | corpus/salon-011.md: ... going to be smoother and more seamless each each go around because training wheels kind ...
sure,7,corpus/interview-018.md: ...op a few more questions and we're gonna sure sure just ask them I'll talk about the colle... | corpus/salon-015.md: ...ting that on a permanent substrate yeah sure sure sure sure sure now speaking of patrick ...
great,7,corpus/interview-021.md: ... right victor until next time yeah it's great great to see you colin likewise ... | corpus/salon-014.md: ...o participate so yeah I'm keeping track great great that sounds good yeah I don't think any...
another,7,corpus/presentation-009.md: ...ounder of the tech expression group was another another MFA computer arts student in that progr... | corpus/salon-024.md: ...ovement to include little piece areas?  Another another aspect of this that some of the older r...
whatever,6,corpus/interview-005.md: ...ng my stylus across the canvas and like whatever whatever develops is going to develop. I was I d... | corpus/interview-013.md: ... I mean it works though it does it does whatever whatever can get you to understand that everythi...
since,6,corpus/interview-005.md: ...whatever tools are around for millennia since since you know start with like rocks rocks we... | corpus/interview-013.md: ...l digital piece and my first real piece since since leaving college and this is more of lik...
through,6,corpus/interview-006.md: ...e patterns of my consciousness you know through through creativity  ## Colin Goldberg [48:02](h... | corpus/salon-046.md: ...looking at the set of works that we had through through an equity lens and the matter is that w...
being,6,corpus/interview-015.md: ...t understand it but there's no sentient being being who wouldn't recognize the quality of s... | corpus/salon-021.md: ... know there's this feeling of maybe not being being seen you know by the what I'd say the l...
people,6,corpus/interview-020.md: ... in exhibitions continuing to meet with people people either one-on-one like on Zoom or going... | corpus/salon-022.md: ...ide note you know to see people younger people people like yourself and Davo who sort of like...
