Date,Clicks,Impressions,CTR,Position
2026-06-20,2,411,0.49%,9.3
2026-06-21,0,472,0%,7.9
2026-06-22,6,522,1.15%,9
2026-06-23,6,451,1.33%,8.5
2026-06-24,5,336,1.49%,11
2026-06-25,1,447,0.22%,8.4
2026-06-26,2,374,0.53%,10
2026-06-27,3,287,1.05%,10.5
2026-06-28,0,397,0%,10.6
2026-06-29,2,432,0.46%,9.9
2026-06-30,2,434,0.46%,10.1
2026-07-01,2,410,0.49%,8.7
2026-07-02,7,311,2.25%,10
2026-07-03,1,290,0.34%,9.3
2026-07-04,3,295,1.02%,8.8
2026-07-05,3,403,0.74%,7.2
2026-07-06,6,364,1.65%,7.7
2026-07-07,5,342,1.46%,8
2026-07-08,1,366,0.27%,8.1
2026-07-09,5,384,1.3%,7.9
2026-07-10,4,342,1.17%,7.9
2026-07-11,6,344,1.74%,9.7
2026-07-12,3,381,0.79%,10.1
2026-07-13,2,331,0.6%,10.5
2026-07-14,2,295,0.68%,10.7
2026-07-15,4,293,1.37%,9.3
2026-07-16,6,300,2%,7.6
2026-07-17,1,250,0.4%,8.2
2026-07-18,2,192,1.04%,8.7
2026-07-19,3,264,1.14%,8.5
2026-07-20,3,267,1.12%,8.5
2026-07-21,2,284,0.7%,7.6
2026-07-22,1,250,0.4%,9.7
2026-07-23,8,283,2.83%,8.8
2026-07-24,5,263,1.9%,12.3
2026-07-25,6,260,2.31%,11.1
2026-07-26,4,221,1.81%,13.1
2026-07-27,2,302,0.66%,13.5
2026-07-28,4,276,1.45%,9
2026-07-29,2,334,0.6%,10.2
2026-07-30,6,343,1.75%,9.2
2026-07-31,3,288,1.04%,9.4
2026-08-01,4,252,1.59%,12.4
2026-08-02,3,250,1.2%,11.4
2026-08-03,2,292,0.68%,9.9
2026-08-04,1,317,0.32%,8.1
2026-08-05,2,309,0.65%,9.6
2026-08-06,2,253,0.79%,9.4
2026-08-07,4,270,1.48%,8.8
2026-08-08,3,284,1.06%,11.3
2026-08-09,1,315,0.32%,11.4
2026-08-10,6,335,1.79%,9.8
2026-08-11,4,342,1.17%,10.2
2026-08-12,5,459,1.09%,13
2026-08-13,4,353,1.13%,11.1
2026-08-14,2,278,0.72%,10.5
2026-08-15,1,255,0.39%,13.7
2026-08-16,1,284,0.35%,14.4
2026-08-17,4,294,1.36%,13.6
2026-08-18,4,378,1.06%,10.4
2026-08-19,4,421,0.95%,9.8
2026-08-20,6,295,2.03%,17.7
2026-08-21,3,325,0.92%,12.1
2026-08-22,0,234,0%,14.5
2026-08-23,2,202,0.99%,11.5
2026-08-24,4,285,1.4%,13.1
2026-08-25,2,311,0.64%,13.8
2026-08-26,0,357,0%,25
2026-08-27,6,290,2.07%,14.2
2026-08-28,3,293,1.02%,14.7
2026-08-29,1,233,0.43%,21.7
2026-08-30,3,244,1.23%,18.1
2026-08-31,2,312,0.64%,13
2026-09-01,4,279,1.43%,6.9
2026-09-02,5,282,1.77%,7.3
2026-09-03,5,250,2%,7.3
2026-09-04,2,246,0.81%,8.9
2026-09-05,1,236,0.42%,8.3
2026-09-06,2,279,0.72%,7.5
2026-09-07,4,237,1.69%,6.9
2026-09-08,2,281,0.71%,7.3
2026-09-09,6,277,2.17%,7.4
2026-09-10,2,289,0.69%,6.2
2026-09-11,5,308,1.62%,5.8
2026-09-12,1,312,0.32%,5.8
2026-09-13,2,246,0.81%,8.2
2026-09-14,2,290,0.69%,6.5
2026-09-15,4,309,1.29%,6.5
2026-09-16,1,501,0.2%,8.9
2026-09-17,2,808,0.25%,6.5
2026-09-18,3,704,0.43%,8.5
2026-09-19,1,615,0.16%,8
