Top queries,Clicks,Impressions,CTR,Position
techspressionism,78,133,58.65%,1.61
sasha stiles,12,1115,1.08%,2.31
frank gillette,3,504,0.6%,1.9
techspressionist,3,14,21.43%,1
tshop,2,355,0.56%,9.8
helen harrison,2,112,1.79%,4.93
ikatch,2,13,15.38%,8.38
claudia hart,1,472,0.21%,2.58
suzanne anker,1,360,0.28%,4.95
joseph nechvatal,1,150,0.67%,6.59
roy nicholson artist,1,129,0.78%,1.83
michael rees artist,1,60,1.67%,3.22
karen lafleur,1,60,1.67%,6.15
guillermo arismendi,1,44,2.27%,6.93
sasha stiles moma,1,40,2.5%,3.05
bernard bousquet,1,22,4.55%,11.77
lucie kralikova,1,14,7.14%,7.71
hello-uz.com,1,5,20%,6.8
tech manifesto,1,3,33.33%,30.33
artist loops,1,2,50%,3.5
please do,1,1,100%,1
annette weintraub,1,1,100%,42
moonth,0,657,0%,3.6
"""salon 33""",0,447,0%,6.55
roy nicholson,0,278,0%,4.32
roser have,0,251,0%,5.82
"""salon 33"" linkedin",0,244,0%,6.06
"""salon 33"" hair/makeup linkedin",0,187,0%,6.42
systaime,0,174,0%,3.61
elio ramos,0,134,0%,6.6
victor acevedo,0,132,0%,7.33
moma poet-in-residence 2018,0,121,0%,7.43
sasha styles,0,119,0%,4.71
patrick lichty,0,106,0%,1.24
dj spooky,0,106,0%,12.76
frank michael gillette,0,101,0%,6.39
"""salon 33"" hair/makeup",0,87,0%,5.69
colin goldberg,0,84,0%,1.92
spalter,0,84,0%,5.51
site:techspressionism.com,0,83,0%,39.92
clive holden,0,75,0%,1.49
nftnow.com,0,74,0%,26.55
steve miller artist,0,73,0%,1.14
anne spalter,0,73,0%,3.41
frank gelette,0,72,0%,2.38
steven miller artist,0,68,0%,2.22
nechvatal,0,60,0%,2.78
systaime meaning,0,57,0%,3.61
digital expressionism,0,57,0%,4.37
roz dimon,0,56,0%,3.86
felix rothschild,0,56,0%,5.88
nina kuo,0,53,0%,1.51
janet s grzegorczyk,0,50,0%,88.38
claudia hart artist,0,49,0%,3.02
frank gilette,0,46,0%,1.39
christine sciulli,0,46,0%,7.83
moma poet in residence 2018,0,45,0%,6.96
renata janiszewska,0,44,0%,2
stephanie sydney,0,44,0%,5.34
steve miller art,0,39,0%,6.31
frank michael gelette,0,37,0%,6.81
salon95,0,36,0%,9.5
sasha stiles artist,0,35,0%,5.77
digital art expressionism,0,34,0%,6.91
lorin roser,0,30,0%,1.9
loops art,0,30,0%,7.37
assouline uzbekistan living treasures celebration of craftsmanship,0,30,0%,21.93
heather hart,0,28,0%,73.64
ann arbor tech offices: biophilic and data-inspired art,0,28,0%,89.36
loop art,0,26,0%,7.35
"""sasha""",0,26,0%,8.65
hello uzbekistan,0,25,0%,9.52
hello chelsea,0,24,0%,7.58
salon 95 nyc,0,23,0%,7.09
moses price,0,23,0%,17.09
tikoi,0,22,0%,4.09
ethical adult tech manifesto,0,22,0%,32.23
sss.tikoi,0,21,0%,9.76
helen a harrison,0,20,0%,9.55
susan anker,0,19,0%,8.05
christiane paul curator,0,18,0%,15.94
mary boochever,0,17,0%,6.59
hudson guild gallery,0,17,0%,15.59
t shop,0,17,0%,29.76
paul d miller dj spooky,0,16,0%,9.06
article turquoise chat noir,0,16,0%,18.56
"artist interview ""march 1, 2021"" painter",0,15,0%,1.8
"""february 2, 2021"" interview artist",0,15,0%,4.93
tassneen bashir,0,15,0%,6.73
art uzbekistan,0,15,0%,32.67
alessio sanna,0,14,0%,3.93
"""creative technologist"" artist commission open call interactive media 
digital art 2026",0,14,0%,9.64
abstract expressionism and technology,0,14,0%,22.21
the wrong biennale,0,14,0%,42.14
"innovative artists brooklyn, ny",0,13,0%,9.23
thinkism,0,13,0%,74.23
multilingual lyricism interview humanness artist,0,12,0%,2.42
multilingual lyricism humanness interview artist,0,12,0%,2.92
darcy gerbarg,0,12,0%,3.67
thomas mintz,0,12,0%,6.92
sasha stiles a living poem,0,12,0%,8.42
hello-uz,0,12,0%,8.67
techneurosis,0,12,0%,22.33
lovid,0,12,0%,40.75
"""march 1, 2021"" ""artist interview"" painter",0,11,0%,2
"""march 1, 2021"" ""interview"" artist",0,11,0%,2.18
spooky artist,0,11,0%,3.64
anker bluetooth,0,11,0%,4
john zieman,0,11,0%,6.36
helen a. harrison,0,11,0%,6.64
los angeles center for digital art,0,11,0%,8.27
dj spooky that subliminal kid,0,11,0%,8.55
digital arts magazine blog 2022 archive,0,11,0%,9.45
technology manifesto,0,11,0%,9.45
paul miller dj spooky,0,11,0%,22.64
sasha stiles poet,0,10,0%,8
joseph nechvata,0,10,0%,9.6
salon100,0,10,0%,9.8
uzbek art,0,10,0%,31.5
ian spalter,0,10,0%,59.2
"""march 1, 2021"" interview artist",0,9,0%,1.89
"""clive holden""",0,9,0%,3.56
lee musgrave,0,9,0%,3.67
suzanne anker artist,0,9,0%,6.78
verneda,0,9,0%,9.56
salon69,0,9,0%,10.11
gillette painters,0,9,0%,17.11
"""what’s your create: how technology frees musician eric ventimiglia"" 
""artwork by""",0,8,0%,1.88
http hello uz com,0,8,0%,7.25
digital arts magazine blog archive 2022,0,8,0%,9
salon 92 nyc,0,8,0%,9.75
xpiritualism,0,8,0%,29.62
schoolism interviews,0,8,0%,36
takedown art and power in the digital age,0,8,0%,63.25
"""march 1, 2021"" artist interview painter",0,7,0%,2
"""march 1, 2021"" artist interview",0,7,0%,2.14
"""march 1, 2021"" interview artist painter",0,7,0%,3
spalter digital,0,7,0%,6.14
frank michael gellette,0,7,0%,8.43
sue beyer,0,7,0%,14
christiane paul whitney,0,7,0%,14.71
hayede,0,7,0%,18.14
howard harris techspressionist,0,7,0%,22.29
diana de avila,0,7,0%,23.43
uzbekistan art,0,7,0%,37.71
wrong biennale,0,7,0%,41.43
cosmodernism,0,7,0%,70.71
nina sobell,0,6,0%,1
frank gillete,0,6,0%,2.5
bonaceto,0,6,0%,7
moma poet-in-residence,0,6,0%,7.67
gillette artist,0,6,0%,8.17
t-shop,0,6,0%,20.17
dj spooky rhythm science,0,6,0%,46.83
gillette ny,0,6,0%,58.5
techno primitivism,0,6,0%,59.67
what is systeme,0,5,0%,1
"""march 1, 2021"" ""artist interview""",0,5,0%,1.4
spooky d,0,5,0%,2.4
"""march 1, 2021"" ""interview"" artist painter",0,5,0%,2.8
conrad anker children,0,5,0%,3.8
every woman biennial,0,5,0%,4.8
loop art critique,0,5,0%,6.4
newfangledism,0,5,0%,6.4
ply300,0,5,0%,8
sasha style,0,5,0%,9.2
chalda maloff,0,5,0%,10.2
mariniana,0,5,0%,12.2
susanne anker,0,5,0%,16.2
ts shop,0,5,0%,19.2
nina yankowitz,0,5,0%,21.4
