Date,Not indexed,Indexed,Impressions
2026-06-23,,,336
2026-06-24,,,447
2026-06-25,,,374
2026-06-26,,,287
2026-06-27,,,397
2026-06-28,,,432
2026-06-29,268,288,434
2026-06-30,269,279,410
2026-07-01,269,279,311
2026-07-02,269,279,290
2026-07-03,269,279,295
2026-07-04,269,279,403
2026-07-05,269,279,364
2026-07-06,269,279,342
2026-07-07,269,279,366
2026-07-08,269,279,384
2026-07-09,269,279,342
2026-07-10,263,282,344
2026-07-11,263,282,381
2026-07-12,263,282,331
2026-07-13,263,282,295
2026-07-14,263,282,293
2026-07-15,263,282,300
2026-07-16,263,282,250
2026-07-17,263,282,192
2026-07-18,263,282,264
2026-07-19,263,282,267
2026-07-20,263,282,284
2026-07-21,263,282,250
2026-07-22,263,282,283
2026-07-23,263,282,263
2026-07-24,259,280,260
2026-07-25,259,280,221
2026-07-26,259,280,302
2026-07-27,259,280,276
2026-07-28,259,280,334
2026-07-29,259,280,343
2026-07-30,259,280,288
2026-07-31,259,280,252
2026-08-01,259,280,250
2026-08-02,259,280,292
2026-08-03,259,280,317
2026-08-04,259,280,309
2026-08-05,259,279,253
2026-08-06,259,279,270
2026-08-07,261,278,284
2026-08-08,261,278,315
2026-08-09,261,278,335
2026-08-10,261,278,342
2026-08-11,261,278,459
2026-08-12,261,278,353
2026-08-13,261,278,278
2026-08-14,264,276,255
2026-08-15,264,276,284
2026-08-16,264,276,294
2026-08-17,263,276,378
2026-08-18,263,276,421
2026-08-19,263,276,295
2026-08-20,263,276,325
2026-08-21,259,274,234
2026-08-22,259,274,202
2026-08-23,259,274,285
2026-08-24,259,274,311
2026-08-25,259,274,357
2026-08-26,259,274,290
2026-08-27,259,274,293
2026-08-28,249,278,233
2026-08-29,249,278,244
2026-08-30,249,278,312
2026-08-31,249,278,279
2026-09-01,249,278,282
2026-09-02,249,278,250
2026-09-03,249,278,246
2026-09-04,233,281,236
2026-09-05,233,281,279
2026-09-06,233,281,237
2026-09-07,233,281,281
2026-09-08,233,281,277
2026-09-09,233,281,289
2026-09-10,233,281,308
2026-09-11,233,281,312
2026-09-12,233,281,246
2026-09-13,233,281,290
2026-09-14,229,282,309
2026-09-15,229,282,501
2026-09-16,229,282,808
2026-09-17,229,282,704
