id,recording type,number,title,time,heard as,sentence,choice (A Techspressionism / B Techspressionist / C Techspressionists / D leave)
M1,salon,27,"Davonte ""Davo"" Bradley and Holly Gordon",1:14:24,text fresh,I think it's the text fresh and this page is where it is.,
M2,salon,28,Tommy Mintz and Stephanie Sydney,1:51:20,Text expression,"Text expression is the other day, which is pretty cool.",
M3,salon,28,Tommy Mintz and Stephanie Sydney,1:52:13,text fashion,"The, the, the group exhibition text fashion is in 2021, which was, you know, kind of.",
M4,salon,29,Techspressionism 2021 Opening,28:14,text fresh,It's text fresh in 2021.,
M5,salon,29,Techspressionism 2021 Opening,1:11:58,text expressions,"First of all, I want to thank the exhibition advisor and curator for selecting and exhibiting my text expressions, my work in Techspressionism 2021.",
M6,salon,30,Sahar Moussavi & Skywaterr,1:28:24,text expression,"And I just think that's something I would really like to encourage people to do, you know, and I'm happy, you know, as sort of like the person who can actually post stuff on text expression is dot com yet although at some point I definitely would like you know some sort of a backup person preferably someone who's comfortable with WordPress you know but to you know to help put those events out there you know and I think that's like a good you know way to look at a growth model for this thing is that you know people have an idea oh I want put the show together.",
M7,salon,34,Old-school Open Mic with Robert DuGrenier,1:40:24,texpressions,Family so to speak so I'm not I'm not gonna go anywhere anytime soon if I can help it anyway buy some Davo masks or I see I wanted to get like a 3d printer and start actually like making masks like that is the thing that I want to do because I love masks and I was like there's so many cool designs and varieties that I could do but that'll be a project for another time because I have more capital now I can actually probably get a 3d printer so I can actually enact on this crazy idea that I have my wife is thrilled by the way yes we heard the laughter yep I think we totally have space we can make space anyway anyway anyway it would be easier to set up a real engine 3d render and projection map your face onto whoever was sitting there I don't know we'll find out you're just spinning I see it oh so one other just point of business is that the I posted this on the facebook group I was going to send out an email blast but I just never got around to it so the Techspressionism 2021 show has been archived now it's still at Techspressionism.com slash ts 2021 and the show that malavika put together in india is on the home page now and that is like sort of I put it up as like a partner exhibition in that you know she's in the index and brought some of the ideas from tech expression this project over to that show and you know it's sort of interesting to see how it's going to work out and so for me it's just an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show it's just it's an amazing show and we're really excited to have that part of the show started that off as a an Instagram account you know and I think that node model might be a way that artists could group together in their various local areas to put together physical exhibitions or what have you but I know there was something in new york city called the thing a while back that was a bunch of sort of technology artists in the 90s that did a similar type thing with thing with nodes and in various countries I've been featuring some of the work from the collaborative art project in india on both Instagram stories and the Instagram account and while I have your attention I just want to remind you that we have a twitter account which is under the handle at texpressions and that twitter account has a!,
M8,salon,34,Old-school Open Mic with Robert DuGrenier,1:43:46,texpressions,"Banner that can be filled with artwork by any of us all you need to do is to format your work you know one to three sorry I should say three to one proportions so 1500 pixels across 500 pixels down and send the file through dm on twitter to at texpressions and yeah I failed to mention Jan Swinburne yeah our twitter link is at texpressions for thisub of at l texpressions that's at the end of the video we're going to get to that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that of today so it must have I looked yesterday and it was still under 30 so I must have just hit that which is a nice milestone I memorialized it with a story oh did you I haven't been on I haven't been on today nice I check every day the number and we need you colin you're a very important person which is what I stepping up and helping is always a good thing I appreciate it's been a it's been a tough thing where you know I feel like there's an infinite number of areas I could focus my attention you know even just within the scope of this project so sometimes it feels a little bit overwhelming but the I got I got revitalized when I heard that hopefully there'll be some definitive information about the southampton show and dates and all that stuff hopefully fingers crossed you know because that's been a source of anxiety for me but yeah I think it's you know it's really interesting and giovanna really appreciate you putting together the brooklyn exhibition the pop-up show you know I you know I really like to do that again I try to coordinate their I want to say play some upper west side it's called blockchain center I went to their event it's they have a lot of like a bitcoin event and it's a it's on the ground floor this is also I still try to do more our event even just pop up but I think it's some really decent people there's a very sincere art collector nft art collectors they were there and they all really like really young like 20 it's all like a 20 something and they just try to just want to learn more and they really appreciate that they can see all type of art so I'll try to do more this year do you know if the thing that you're you put together with your colleagues is that's happening tomorrow night, is that an open Zoom event or is that just for the people that Lucia is bringing in?",
M9,salon,34,Old-school Open Mic with Robert DuGrenier,1:43:46,texpressions,"Banner that can be filled with artwork by any of us all you need to do is to format your work you know one to three sorry I should say three to one proportions so 1500 pixels across 500 pixels down and send the file through dm on twitter to at texpressions and yeah I failed to mention Jan Swinburne yeah our twitter link is at texpressions for thisub of at l texpressions that's at the end of the video we're going to get to that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that of today so it must have I looked yesterday and it was still under 30 so I must have just hit that which is a nice milestone I memorialized it with a story oh did you I haven't been on I haven't been on today nice I check every day the number and we need you colin you're a very important person which is what I stepping up and helping is always a good thing I appreciate it's been a it's been a tough thing where you know I feel like there's an infinite number of areas I could focus my attention you know even just within the scope of this project so sometimes it feels a little bit overwhelming but the I got I got revitalized when I heard that hopefully there'll be some definitive information about the southampton show and dates and all that stuff hopefully fingers crossed you know because that's been a source of anxiety for me but yeah I think it's you know it's really interesting and giovanna really appreciate you putting together the brooklyn exhibition the pop-up show you know I you know I really like to do that again I try to coordinate their I want to say play some upper west side it's called blockchain center I went to their event it's they have a lot of like a bitcoin event and it's a it's on the ground floor this is also I still try to do more our event even just pop up but I think it's some really decent people there's a very sincere art collector nft art collectors they were there and they all really like really young like 20 it's all like a 20 something and they just try to just want to learn more and they really appreciate that they can see all type of art so I'll try to do more this year do you know if the thing that you're you put together with your colleagues is that's happening tomorrow night, is that an open Zoom event or is that just for the people that Lucia is bringing in?",
M10,salon,34,Old-school Open Mic with Robert DuGrenier,1:43:46,texpressions,"Banner that can be filled with artwork by any of us all you need to do is to format your work you know one to three sorry I should say three to one proportions so 1500 pixels across 500 pixels down and send the file through dm on twitter to at texpressions and yeah I failed to mention Jan Swinburne yeah our twitter link is at texpressions for thisub of at l texpressions that's at the end of the video we're going to get to that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that so jenna we're going to have to say for that of today so it must have I looked yesterday and it was still under 30 so I must have just hit that which is a nice milestone I memorialized it with a story oh did you I haven't been on I haven't been on today nice I check every day the number and we need you colin you're a very important person which is what I stepping up and helping is always a good thing I appreciate it's been a it's been a tough thing where you know I feel like there's an infinite number of areas I could focus my attention you know even just within the scope of this project so sometimes it feels a little bit overwhelming but the I got I got revitalized when I heard that hopefully there'll be some definitive information about the southampton show and dates and all that stuff hopefully fingers crossed you know because that's been a source of anxiety for me but yeah I think it's you know it's really interesting and giovanna really appreciate you putting together the brooklyn exhibition the pop-up show you know I you know I really like to do that again I try to coordinate their I want to say play some upper west side it's called blockchain center I went to their event it's they have a lot of like a bitcoin event and it's a it's on the ground floor this is also I still try to do more our event even just pop up but I think it's some really decent people there's a very sincere art collector nft art collectors they were there and they all really like really young like 20 it's all like a 20 something and they just try to just want to learn more and they really appreciate that they can see all type of art so I'll try to do more this year do you know if the thing that you're you put together with your colleagues is that's happening tomorrow night, is that an open Zoom event or is that just for the people that Lucia is bringing in?",
