artist,wikipedia address,result,why
Tina Anderson,https://en.wikipedia.org/wiki/Tina_Anderson,review,first lines do not call them an artist: American comics writer
Cape Cod Museum of Art,https://en.wikipedia.org/wiki/Cape_Cod_Museum_of_Art,review,"first lines do not call them an artist: Art museum in Massachusetts, US"
Isabelle Arvers,https://en.wikipedia.org/wiki/Isabelle_Arvers,review,"first lines do not call them an artist: French media art curator, critic and author"
Cheryl Audet-Lavoie,https://en.wikipedia.org/wiki/Cheryl_Lavoie,review,first lines do not call them an artist: Canadian politician
Jaime Bautista,https://en.wikipedia.org/wiki/Jaime_Bautista,review,first lines do not call them an artist: Filipino economist
Stephanie Beroes,https://en.wikipedia.org/wiki/Stephanie_Beroes,review,"an artist, but no mention of technology or new media: American filmmaker"
David Bloom,https://en.wikipedia.org/wiki/David_Bloom,review,first lines do not call them an artist: American journalist (1963–2003)
Divine Bradley,https://en.wikipedia.org/wiki/Divine_Bradley,review,first lines do not call them an artist: American activist
Clay Campbell,https://en.wikipedia.org/wiki/Clay_Campbell,review,not an article (disambiguation)
Stephen Carpenter,https://en.wikipedia.org/wiki/Stephen_Carpenter,review,first lines do not call them an artist: American guitarist (born 1970)
cha cha,https://en.wikipedia.org/wiki/Cha-Cha,review,not an article (disambiguation)
James Dawson,https://en.wikipedia.org/wiki/James_Dawson,review,not an article (disambiguation)
Lee Day,https://en.wikipedia.org/wiki/Robert_E._Lee_Day,review,first lines do not call them an artist: State holiday in parts of the Southern US
Fahn,https://en.wikipedia.org/wiki/James_Gardiner,review,not an article (disambiguation)
Howard Harris,https://en.wikipedia.org/wiki/Howard_Harris,review,not an article (disambiguation)
Helen A. Harrison,https://en.wikipedia.org/wiki/Helen_A._Harrison,review,"an artist, but no mention of technology or new media: American art historian, curator, journalist, and author (born 1942)"
Cindy Hawkins,https://en.wikipedia.org/wiki/Fear_the_Walking_Dead_season_7,review,article is titled 'Fear the Walking Dead season 7'
Ryan Henderson,https://en.wikipedia.org/wiki/2008_University_of_Central_Arkansas_shooting,review,article is titled '2008 University of Central Arkansas shooting'
Sue Huang,https://en.wikipedia.org/wiki/Sue_Huang,review,not an article (disambiguation)
Judith Jacobs,https://en.wikipedia.org/wiki/Judith_Jacobs,review,first lines do not call them an artist: American politician (1939–2016)
Paul D. Miller aka DJ Spooky that Subliminal Kid,https://en.wikipedia.org/wiki/Paul_D._Miller,review,not an article (disambiguation)
Paul D. Miller aka DJ Spooky that Subliminal Kid,https://en.wikipedia.org/wiki/DJ_Spooky,review,first lines do not call them an artist: American DJ and music producer
Paul D. Miller aka DJ Spooky that Subliminal Kid,https://en.wikipedia.org/wiki/DJ_Spooky,review,first lines do not call them an artist: American DJ and music producer
Catherine Mason,https://en.wikipedia.org/wiki/Catherine_Mason,review,first lines do not call them an artist: Australian-born art historian
Randi Matushevitz,https://en.wikipedia.org/wiki/Randi_Matushevitz,review,"an artist, but no mention of technology or new media: American artist"
Morgan Harper Nichols,https://en.wikipedia.org/wiki/Morgan_Harper_Nichols,review,"an artist, but no mention of technology or new media: American musician and writer"
Michael Pointer,https://en.wikipedia.org/wiki/Michael_Pointer,review,not an article (disambiguation)
Frédéric Pons,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Pons,review,first lines do not call them an artist: French Army officer and journalist (born 1954)
Frédéric Pons,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Pons,review,first lines do not call them an artist: French Army officer and journalist (born 1954)
Michael Pierre Price,https://en.wikipedia.org/wiki/Michael_Price,review,not an article (disambiguation)
Bill Rogers,https://en.wikipedia.org/wiki/Bill_Rogers,review,not an article (disambiguation)
Marilyn R. Rosenberg,https://en.wikipedia.org/wiki/Marilyn_R._Rosenberg,review,"an artist, but no mention of technology or new media: American book artist"
Kedar Shah,https://en.wikipedia.org/wiki/Kedar_Shah,review,first lines do not call them an artist: Indian water polo player
Laura Splan,https://en.wikipedia.org/wiki/Laura_Splan,review,"an artist, but no mention of technology or new media: American Artist"
Lisa Sutton,https://en.wikipedia.org/wiki/Lisa_Sutton,review,not an article (disambiguation)
Andy Thomas,https://en.wikipedia.org/wiki/Andy_Thomas,review,first lines do not call them an artist: Australian-American astronaut (born 1951)
Michael Warner,https://en.wikipedia.org/wiki/Michael_Warner,review,"first lines do not call them an artist: American literary critic, social theorist"
Michael Woodruff,https://en.wikipedia.org/wiki/Michael_Woodruff,review,first lines do not call them an artist: English transplant surgeon (1911–2001)
Andy Young,https://en.wikipedia.org/wiki/Andrew_Young_(disambiguation),review,not an article (disambiguation)
Joey Zaza,https://en.wikipedia.org/wiki/List_of_The_Godfather_characters,review,article is titled 'List of The Godfather characters'
