id,video_id,old,new
interview-001,JZFDck9gwH8,/archive/interview-001/,/archive/interview-001-colin-goldberg/
interview-002,2JTyaVoXMsQ,/archive/interview-002/,/archive/interview-002-anne-spalter/
interview-003,DJDMQvtiOQU,/archive/interview-003/,/archive/interview-003-roz-dimon/
interview-004,Hjej663DEjw,/archive/interview-004/,/archive/interview-004-joseph-nechvatal/
interview-005,qE6D2wrr1rU,/archive/interview-005/,/archive/interview-005-davonte-bradley/
interview-006,a5h-eBQYrks,/archive/interview-006/,/archive/interview-006-patrick-lichty/
interview-007,XLRoHnYg1dA,/archive/interview-007/,/archive/interview-007-michael-pierre-price/
interview-008,--L1ziEx3-A,/archive/interview-008/,/archive/interview-008-steve-miller/
interview-009,YaKIk32mYWw,/archive/interview-009/,/archive/interview-009-andrea-bonaceto/
interview-010,rO6UdqwFKFc,/archive/interview-010/,/archive/interview-010-brandon-gellis/
interview-011,nGPCwUZj9fs,/archive/interview-011/,/archive/interview-011-michael-rees/
interview-012,m6ca8UoF49M,/archive/interview-012/,/archive/interview-012-gregory-little/
interview-013,w6fW5oWbBdk,/archive/interview-013/,/archive/interview-013-cee-moses/
interview-014,DEIe5Z44tx0,/archive/interview-014/,/archive/interview-014-carter-hodgkin/
interview-015,aP2x9m5GMak,/archive/interview-015/,/archive/interview-015-darcy-gerbarg/
interview-016,sqMzJArwmhg,/archive/interview-016/,/archive/interview-016-paul-d-miller-aka-dj-spooky-that-subliminal-kid/
interview-017,k1kO0JSzqc8,/archive/interview-017/,/archive/interview-017-tommy-mintz/
interview-018,Jb-J_QTgufM,/archive/interview-018/,/archive/interview-018-randi-matushevitz/
interview-019,lXCEgu2Iz5k,/archive/interview-019/,/archive/interview-019-malavika-mandal-andrew/
interview-020,kfGb9OWyXEM,/archive/interview-020/,/archive/interview-020-renata-janiszewska/
interview-021,ywYWdI922tI,/archive/interview-021/,/archive/interview-021-victor-acevedo/
interview-022,FDFxHrpDvEI,/archive/interview-022/,/archive/interview-022-karen-lafleur/
interview-023,GReJ-zgJz-o,/archive/interview-023/,/archive/interview-023-suzanne-anker/
interview-024,RoCFEGxcw4Y,/archive/interview-024/,/archive/interview-024-frank-gillette/
interview-025,8x8eIkbpHws,/archive/interview-025/,/archive/interview-025-verneda-lights/
interview-026,iQL826mqyFg,/archive/interview-026/,/archive/interview-026-nina-sobell/
interview-027,Jj66toeEM0Q,/archive/interview-027/,/archive/interview-027-cari-ann-shim-sham/
interview-028,xkfYnuTP2zA,/archive/interview-028/,/archive/interview-028-sasha-stiles/
interview-029,4kHuGtuLoSY,/archive/interview-029/,/archive/interview-029-claudia-hart/
interview-030,Q-4Co29bgiM,/archive/interview-030/,/archive/interview-030-carla-gannis/
presentation-001,z8fZvhQgl80,/archive/presentation-001/,/archive/presentation-001-digital-painting-and-drawing-1/
presentation-002,GvAkzINQBT8,/archive/presentation-002/,/archive/presentation-002-ai-as-creative-collaborator/
presentation-003,DtGglnJ4mdI,/archive/presentation-003/,/archive/presentation-003-collaborations-between-artists-and-scientists/
presentation-004,9u3WpSKe3bM,/archive/presentation-004/,/archive/presentation-004-digital-painting-and-drawing-2/
presentation-005,XgXtLT1I-T4,/archive/presentation-005/,/archive/presentation-005-moving-images-sequencing-as-visual-expression/
presentation-006,V3NO6tMIiPU,/archive/presentation-006/,/archive/presentation-006-digital-photography/
presentation-007,lW17XAepKs4,/archive/presentation-007/,/archive/presentation-007-how-technology-changes-artist-interactions-with/
presentation-008,1OgIwvY5_F4,/archive/presentation-008/,/archive/presentation-008-digital-sculpture-and-world-creation/
presentation-009,8aQDDA-u0io,/archive/presentation-009/,/archive/presentation-009-technology-and-art-with-colin-goldberg/
roundtable-001,-8Glurhxyms,/archive/roundtable-001/,/archive/roundtable-001-curators-in-conversation/
roundtable-002,S_q30BIvh8c,/archive/roundtable-002/,/archive/roundtable-002-approach/
roundtable-003,_oxmBXSdyNk,/archive/roundtable-003/,/archive/roundtable-003-science-and-art-part-one/
roundtable-004,4HfJCnIp8XE,/archive/roundtable-004/,/archive/roundtable-004-science-and-art-part-two/
roundtable-005,BphNOUbReFs,/archive/roundtable-005/,/archive/roundtable-005-four-techspressionist-artists/
roundtable-006,lVI5UE-AD9E,/archive/roundtable-006/,/archive/roundtable-006-founders-five-years-later/
salon-008,lxunnn1tM5M,/archive/salon-008/,/archive/salon-008-pons-sun-andrew-pointer-boyd-wilson-lafleur/
salon-009,wyAHD-HTAfM,/archive/salon-009/,/archive/salon-009-dimon-kralikova-lichty-kell-moses/
salon-010,2stJTcEAhGY,/archive/salon-010/,/archive/salon-010-spalter-gerbarg-karver-gellis-bradley/
salon-011,e5dH26wP9gk,/archive/salon-011/,/archive/salon-011-miller-henderson-woods-swinburne-kralikova/
salon-012,colPPMiP6gk,/archive/salon-012/,/archive/salon-012-carter-hodgkin-michael-rees-colin-goldberg-michael/
salon-013,b4hmMbnUuKE,/archive/salon-013/,/archive/salon-013-negin-ehtesabian-diane-marsella-sue-beyer/
salon-014,MZ7JzodmmIA,/archive/salon-014/,/archive/salon-014-susan-de-troy-sherry-karver-deann-stein-hasinoff/
salon-015,rwlq9lFhe18,/archive/salon-015/,/archive/salon-015-andrea-bonaceto-tommy-mintz-clive-holden/
salon-016,syXkJWTwCJc,/archive/salon-016/,/archive/salon-016-randi-matushevitz-gary-hopkins-roz-dimon/
salon-017,UE3rbE3XMf0,/archive/salon-017/,/archive/salon-017-michael-pierre-price-greggory-hill-michael-pointer/
salon-018,wvwrqw0MRfI,/archive/salon-018/,/archive/salon-018-paul-d-miller-aka-dj-spooky-that-subliminal-kid-and-ap/
salon-019,mA3da8lu0iU,/archive/salon-019/,/archive/salon-019-gregory-little-and-lee-musgrave/
salon-020,Hhm4t38sjUA,/archive/salon-020/,/archive/salon-020-victor-acevedo-and-christine-sciulli/
salon-021,CtSAsaLkmtQ,/archive/salon-021/,/archive/salon-021-cynthia-beth-rubin-and-renata-janiszewska/
salon-022,sbMbH55efqM,/archive/salon-022/,/archive/salon-022-lorin-roser-and-nina-kuo-and-emma-anne-johnson/
salon-023,pmau5CDJUiQ,/archive/salon-023/,/archive/salon-023-rebecca-tombaugh-and-cynthia-didonato/
salon-024,fEWi09zryY0,/archive/salon-024/,/archive/salon-024-malavika-mandal-andrew-and-lee-schnaiberg/
salon-025,BbLPmZfJVOs,/archive/salon-025/,/archive/salon-025-lights-gerbarg-stein-hasinoff-bradley-tintin23x/
salon-026,cYU7eKBcCto,/archive/salon-026/,/archive/salon-026-collab-2-exhibition-opening-reception/
